Mar  1 19:38:12 cs219-laptop kernel: [   27.223589] rraa: 06:20:a6:57:ff:32 : tx_count: 21610, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:12 cs219-laptop kernel: [   27.326805] rraa: 06:20:a6:57:ff:32 : tx_count: 22650, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:38:13 cs219-laptop kernel: [   27.340927] rraa: 06:20:a6:57:ff:32 : tx_count: 22810, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:13 cs219-laptop kernel: [   27.368297] rraa: 06:20:a6:57:ff:32 : tx_count: 23170, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:13 cs219-laptop kernel: [   27.370944] rraa: 06:20:a6:57:ff:32 : tx_count: 23210, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:13 cs219-laptop kernel: [   27.411507] rraa: 06:20:a6:57:ff:32 : tx_count: 23730, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:13 cs219-laptop kernel: [   27.421754] rraa: 06:20:a6:57:ff:32 : tx_count: 23850, tx_rate: 36M, loss ratio: 31, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.429315] rraa: 06:20:a6:57:ff:32 : tx_count: 23930, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.432993] rraa: 06:20:a6:57:ff:32 : tx_count: 23970, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.447023] rraa: 06:20:a6:57:ff:32 : tx_count: 24130, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.450259] rraa: 06:20:a6:57:ff:32 : tx_count: 24170, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.475612] rraa: 06:20:a6:57:ff:32 : tx_count: 24490, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.483333] rraa: 06:20:a6:57:ff:32 : tx_count: 24570, tx_rate: 36M, loss ratio: 35, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.496169] rraa: 06:20:a6:57:ff:32 : tx_count: 24730, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.502305] rraa: 06:20:a6:57:ff:32 : tx_count: 24810, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.525523] rraa: 06:20:a6:57:ff:32 : tx_count: 24930, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:14 cs219-laptop kernel: [   27.544668] rraa: 06:20:a6:57:ff:32 : tx_count: 25130, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.568065] rraa: 06:20:a6:57:ff:32 : tx_count: 25410, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.574141] rraa: 06:20:a6:57:ff:32 : tx_count: 25490, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.581989] rraa: 06:20:a6:57:ff:32 : tx_count: 25530, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.585295] rraa: 06:20:a6:57:ff:32 : tx_count: 25570, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.600312] rraa: 06:20:a6:57:ff:32 : tx_count: 25770, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.605369] rraa: 06:20:a6:57:ff:32 : tx_count: 25810, tx_rate: 36M, loss ratio: 25, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.608042] rraa: 06:20:a6:57:ff:32 : tx_count: 25850, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.611511] rraa: 06:20:a6:57:ff:32 : tx_count: 25890, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.620744] rraa: 06:20:a6:57:ff:32 : tx_count: 26010, tx_rate: 48M, loss ratio: 16, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.632852] rraa: 06:20:a6:57:ff:32 : tx_count: 26170, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.651100] rraa: 06:20:a6:57:ff:32 : tx_count: 26410, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.654477] rraa: 06:20:a6:57:ff:32 : tx_count: 26450, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:38:15 cs219-laptop kernel: [   27.660537] rraa: 06:20:a6:57:ff:32 : tx_count: 26530, tx_rate: 48M, loss ratio: 14, window size: 40
