Mar  1 13:03:40 cs219-laptop kernel: [   41.043653] rraa: 06:20:a6:57:ff:32 : tx_count: 28375, tx_rate: 48M, loss ratio: 78, window size: 40
Mar  1 13:03:40 cs219-laptop kernel: [   41.049108] rraa: 06:20:a6:57:ff:32 : tx_count: 28375, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.054800] rraa: 06:20:a6:57:ff:32 : tx_count: 28385, tx_rate: 24M, loss ratio: 97, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.060840] rraa: 06:20:a6:57:ff:32 : tx_count: 28425, tx_rate: 36M, loss ratio: 0, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.063126] rraa: 06:20:a6:57:ff:32 : tx_count: 28465, tx_rate: 48M, loss ratio: 0, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.065035] rraa: 06:20:a6:57:ff:32 : tx_count: 28505, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.073461] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 48M, loss ratio: 84, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.078535] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 36M, loss ratio: 100, window size: 40
Mar  1 13:03:41 cs219-laptop kernel: [   41.083977] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 24M, loss ratio: 100, window size: 40
Mar  1 13:03:42 cs219-laptop kernel: [   41.091513] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 18M, loss ratio: 100, window size: 20
Mar  1 13:03:42 cs219-laptop kernel: [   41.095831] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 12M, loss ratio: 100, window size: 20
Mar  1 13:03:42 cs219-laptop kernel: [   41.100629] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 11M, loss ratio: 100, window size: 15
Mar  1 13:03:42 cs219-laptop kernel: [   41.104460] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 9M, loss ratio: 100, window size: 10
Mar  1 13:03:42 cs219-laptop kernel: [   41.106648] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 6M, loss ratio: 100, window size: 6
Mar  1 13:03:42 cs219-laptop kernel: [   41.109320] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 5M, loss ratio: 100, window size: 6
Mar  1 13:03:42 cs219-laptop kernel: [   41.110926] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 2M, loss ratio: 100, window size: 6
Mar  1 13:03:43 cs219-laptop kernel: [   41.112334] rraa: 06:20:a6:57:ff:32 : tx_count: 28652, tx_rate: 1M, loss ratio: 100, window size: 6
Mar  1 13:03:51 cs219-laptop kernel: [   41.293004] rraa: 06:20:a6:57:ff:32 : tx_count: 28673, tx_rate: 2M, loss ratio: 0, window size: 6
Mar  1 13:03:51 cs219-laptop kernel: [   41.294665] rraa: 06:20:a6:57:ff:32 : tx_count: 28679, tx_rate: 5M, loss ratio: 0, window size: 6
Mar  1 13:03:51 cs219-laptop kernel: [   41.295838] rraa: 06:20:a6:57:ff:32 : tx_count: 28685, tx_rate: 6M, loss ratio: 0, window size: 6
Mar  1 13:03:52 cs219-laptop kernel: [   41.297502] rraa: 06:20:a6:57:ff:32 : tx_count: 28691, tx_rate: 9M, loss ratio: 0, window size: 10
Mar  1 13:03:52 cs219-laptop kernel: [   41.301318] rraa: 06:20:a6:57:ff:32 : tx_count: 28701, tx_rate: 11M, loss ratio: 0, window size: 15
Mar  1 13:03:52 cs219-laptop kernel: [   41.303757] rraa: 06:20:a6:57:ff:32 : tx_count: 28716, tx_rate: 12M, loss ratio: 0, window size: 20
Mar  1 13:03:52 cs219-laptop kernel: [   41.308691] rraa: 06:20:a6:57:ff:32 : tx_count: 28736, tx_rate: 18M, loss ratio: 0, window size: 20
Mar  1 13:03:52 cs219-laptop kernel: [   41.310880] rraa: 06:20:a6:57:ff:32 : tx_count: 28756, tx_rate: 24M, loss ratio: 0, window size: 40
Mar  1 13:03:52 cs219-laptop kernel: [   41.318221] rraa: 06:20:a6:57:ff:32 : tx_count: 28876, tx_rate: 36M, loss ratio: 11, window size: 40
Mar  1 13:03:52 cs219-laptop kernel: [   41.324244] rraa: 06:20:a6:57:ff:32 : tx_count: 28996, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 13:03:52 cs219-laptop kernel: [   41.330607] rraa: 06:20:a6:57:ff:32 : tx_count: 29116, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:53 cs219-laptop kernel: [   41.409197] rraa: 06:20:a6:57:ff:32 : tx_count: 29996, tx_rate: 48M, loss ratio: 25, window size: 40
Mar  1 13:03:53 cs219-laptop kernel: [   41.427590] rraa: 06:20:a6:57:ff:32 : tx_count: 30116, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 13:03:54 cs219-laptop kernel: [   41.490002] rraa: 06:20:a6:57:ff:32 : tx_count: 30796, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 13:03:54 cs219-laptop kernel: [   41.495129] rraa: 06:20:a6:57:ff:32 : tx_count: 30876, tx_rate: 54M, loss ratio: 4, window size: 40
Mar  1 13:03:54 cs219-laptop kernel: [   41.497567] rraa: 06:20:a6:57:ff:32 : tx_count: 30916, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 13:03:54 cs219-laptop kernel: [   41.503165] rraa: 06:20:a6:57:ff:32 : tx_count: 31036, tx_rate: 54M, loss ratio: 2, window size: 40
