Mar  7 17:09:54 cs219-laptop kernel: [ 1113.921861] rraa: 06:20:a6:57:ff:32 : tx_count: 5698, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:55 cs219-laptop kernel: [ 1114.370189] rraa: 06:20:a6:57:ff:32 : tx_count: 5737, tx_rate: 36M, loss ratio: 69, window size: 40
Mar  7 17:09:55 cs219-laptop kernel: [ 1114.818514] rraa: 06:20:a6:57:ff:32 : tx_count: 5777, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  7 17:09:55 cs219-laptop kernel: [ 1115.267583] rraa: 06:20:a6:57:ff:32 : tx_count: 5800, tx_rate: 36M, loss ratio: 92, window size: 40
Mar  7 17:09:56 cs219-laptop kernel: [ 1116.163493] rraa: 06:20:a6:57:ff:32 : tx_count: 5879, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:57 cs219-laptop kernel: [ 1116.611822] rraa: 06:20:a6:57:ff:32 : tx_count: 5916, tx_rate: 36M, loss ratio: 76, window size: 40
Mar  7 17:09:58 cs219-laptop kernel: [ 1117.508476] rraa: 06:20:a6:57:ff:32 : tx_count: 5996, tx_rate: 48M, loss ratio: 4, window size: 40
Mar  7 17:09:58 cs219-laptop kernel: [ 1117.962771] rraa: 06:20:a6:57:ff:32 : tx_count: 6032, tx_rate: 36M, loss ratio: 81, window size: 40
Mar  7 17:09:59 cs219-laptop kernel: [ 1118.405130] rraa: 06:20:a6:57:ff:32 : tx_count: 6072, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:09:59 cs219-laptop kernel: [ 1118.853456] rraa: 06:20:a6:57:ff:32 : tx_count: 6106, tx_rate: 36M, loss ratio: 81, window size: 40
Mar  7 17:10:00 cs219-laptop kernel: [ 1119.750112] rraa: 06:20:a6:57:ff:32 : tx_count: 6186, tx_rate: 24M, loss ratio: 40, window size: 40
Mar  7 17:10:01 cs219-laptop kernel: [ 1120.646764] rraa: 06:20:a6:57:ff:32 : tx_count: 6266, tx_rate: 36M, loss ratio: 2, window size: 40
Mar  7 17:10:01 cs219-laptop kernel: [ 1121.095090] rraa: 06:20:a6:57:ff:32 : tx_count: 6306, tx_rate: 48M, loss ratio: 9, window size: 40
Mar  7 17:10:02 cs219-laptop kernel: [ 1121.543801] rraa: 06:20:a6:57:ff:32 : tx_count: 6346, tx_rate: 36M, loss ratio: 62, window size: 40
Mar  7 17:10:02 cs219-laptop kernel: [ 1121.991746] rraa: 06:20:a6:57:ff:32 : tx_count: 6386, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  7 17:10:03 cs219-laptop kernel: [ 1122.440073] rraa: 06:20:a6:57:ff:32 : tx_count: 6425, tx_rate: 36M, loss ratio: 69, window size: 40
Mar  7 17:10:03 cs219-laptop kernel: [ 1122.888398] rraa: 06:20:a6:57:ff:32 : tx_count: 6465, tx_rate: 48M, loss ratio: 11, window size: 40
