Mar  1 19:49:04 cs219-laptop kernel: [   88.001599] rraac1: 06:20:a6:57:ff:32 : tx_count: 18747, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:05 cs219-laptop kernel: [   88.045084] rraac1: 06:20:a6:57:ff:32 : tx_count: 19147, tx_rate: 48M, loss ratio: 18, window size: 40
Mar  1 19:49:05 cs219-laptop kernel: [   88.060826] rraac1: 06:20:a6:57:ff:32 : tx_count: 19267, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:05 cs219-laptop kernel: [   88.097457] rraac1: 06:20:a6:57:ff:32 : tx_count: 19587, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:05 cs219-laptop kernel: [   88.111214] rraac1: 06:20:a6:57:ff:32 : tx_count: 19707, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:05 cs219-laptop kernel: [   88.134342] rraac1: 06:20:a6:57:ff:32 : tx_count: 19907, tx_rate: 48M, loss ratio: 13, window size: 40
Mar  1 19:49:05 cs219-laptop kernel: [   88.147870] rraac1: 06:20:a6:57:ff:32 : tx_count: 20027, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.161577] rraac1: 06:20:a6:57:ff:32 : tx_count: 20107, tx_rate: 48M, loss ratio: 23, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.178281] rraac1: 06:20:a6:57:ff:32 : tx_count: 20227, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.187725] rraac1: 06:20:a6:57:ff:32 : tx_count: 20307, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.201627] rraac1: 06:20:a6:57:ff:32 : tx_count: 20387, tx_rate: 54M, loss ratio: 0, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.248327] rraac1: 06:20:a6:57:ff:32 : tx_count: 20787, tx_rate: 48M, loss ratio: 14, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.253257] rraac1: 06:20:a6:57:ff:32 : tx_count: 20827, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.275406] rraac1: 06:20:a6:57:ff:32 : tx_count: 21027, tx_rate: 48M, loss ratio: 11, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.283195] rraac1: 06:20:a6:57:ff:32 : tx_count: 21067, tx_rate: 36M, loss ratio: 24, window size: 40
Mar  1 19:49:06 cs219-laptop kernel: [   88.287441] rraac1: 06:20:a6:57:ff:32 : tx_count: 21107, tx_rate: 48M, loss ratio: 6, window size: 40
Mar  1 19:49:07 cs219-laptop kernel: [   88.291710] rraac1: 06:20:a6:57:ff:32 : tx_count: 21147, tx_rate: 54M, loss ratio: 2, window size: 40
Mar  1 19:49:07 cs219-laptop kernel: [   88.402004] rraac1: 06:20:a6:57:ff:32 : tx_count: 22187, tx_rate: 48M, loss ratio: 24, window size: 40
