output format
<time> <tx rate>

18:15:37 56281, 48M,
18:15:37 56361, 48M,
18:15:37 56441, 48M,
18:15:37 56521, 48M,
18:15:38 56601, 48M,
18:15:38 56681, 54M,
18:15:38 56761, 54M,
18:15:38 56841, 54M,
18:15:38 56921, 54M,
18:15:38 57001, 48M,
18:15:38 57081, 48M,
18:15:38 57161, 48M,
18:15:38 57241, 48M,
18:15:38 57321, 48M,
18:15:38 57401, 48M,
18:15:39 57481, 48M,
18:15:39 57561, 48M,
18:15:39 57641, 48M,
18:15:39 57721, 48M,
18:15:39 57801, 48M,
18:15:39 57881, 48M,
18:15:39 57961, 48M,
18:15:39 58041, 48M,
18:15:39 58121, 48M,
18:15:39 58201, 48M,
18:15:39 58281, 54M,
18:15:40 58361, 48M,
18:15:40 58441, 48M,
18:15:40 58521, 48M,
18:15:40 58601, 48M,
18:15:40 58681, 48M,
18:15:40 58761, 48M,
18:15:40 58841, 48M,
18:15:40 58921, 48M,
18:15:40 59001, 48M,
18:15:40 59081, 48M,
18:15:40 59161, 48M,
18:15:41 59241, 48M,
18:15:41 59321, 48M,
18:15:41 59401, 48M,
18:15:41 59481, 48M,
18:15:41 59561, 48M,
18:15:41 59641, 48M,
18:15:41 59721, 54M,
18:15:41 59801, 54M,
18:15:41 59881, 48M,
18:15:41 59961, 48M,
18:15:41 60041, 48M,
18:15:41 60121, 48M,
18:15:42 60201, 48M,
18:15:42 60281, 48M,
18:15:42 60361, 48M,
18:15:42 60441, 54M,
18:15:42 60521, 54M,
18:15:42 60601, 48M,
18:15:42 60681, 48M,
18:15:42 60761, 48M,
18:15:42 60841, 48M,
18:15:42 60921, 48M,
18:15:42 61001, 48M,
18:15:42 61081, 48M,
18:15:42 61161, 48M,
18:15:42 61241, 48M,
18:15:43 61321, 48M,
18:15:43 61401, 48M,
18:15:43 61481, 48M,
18:15:43 61561, 48M,
18:15:43 61641, 48M,
18:15:43 61721, 48M,
18:15:43 61801, 48M,
18:15:43 61881, 54M,
18:15:43 61961, 48M,
18:15:43 62041, 48M,
18:15:43 62121, 48M,
18:15:43 62201, 48M,
18:15:44 62281, 48M,
18:15:44 62361, 48M,
18:15:44 62441, 48M,
18:15:44 62521, 48M,
18:15:44 62601, 48M,
18:15:44 62681, 48M,
18:15:44 62761, 48M,
18:15:44 62841, 48M,
18:15:44 62921, 48M,
18:15:44 63001, 48M,
18:15:45 63081, 48M,
18:15:45 63161, 48M,
18:15:45 63241, 48M,
18:15:45 63321, 48M,
18:15:45 63401, 48M,
18:15:45 63481, 48M,
18:15:45 63561, 48M,
18:15:45 63641, 48M,
18:15:45 63721, 48M,
18:15:45 63801, 48M,
18:15:46 63881, 48M,
18:15:46 63961, 48M,
18:15:46 64041, 48M,
18:15:46 64121, 48M,
18:15:46 64201, 48M,
18:15:46 64281, 48M,
18:15:46 64361, 48M,
18:15:46 64441, 48M,
18:15:46 64521, 48M,
18:15:46 64601, 48M,
18:15:47 64681, 48M,
18:15:47 64761, 48M,
18:15:47 64841, 48M,
18:15:47 64921, 48M,
18:15:47 65001, 48M,
18:15:47 65081, 54M,
18:15:47 65161, 54M,
18:15:47 65241, 48M,
18:15:47 65321, 54M,
18:15:47 65401, 48M,
18:15:48 65481, 48M,
18:15:48 65561, 48M,
18:15:48 65641, 48M,
18:15:48 65721, 48M,
18:15:48 65801, 48M,
18:15:48 65881, 48M,
18:15:48 65961, 48M,
18:15:48 66041, 48M,
18:15:48 66121, 48M,
18:15:48 66201, 48M,
18:15:48 66281, 48M,
18:15:49 66361, 48M,
18:15:49 66441, 48M,
18:15:49 66521, 48M,
18:15:49 66601, 48M,
18:15:49 66681, 48M,
18:15:49 66761, 48M,
18:15:49 66841, 48M,
18:15:49 66921, 48M,
18:15:49 67001, 48M,
18:15:49 67081, 48M,
18:15:49 67161, 48M,
18:15:50 67241, 48M,
18:15:50 67321, 48M,
18:15:50 67401, 48M,
18:15:50 67481, 48M,
18:15:50 67561, 48M,
18:15:50 67641, 48M,
18:15:50 67721, 48M,
18:15:50 67801, 54M,
18:15:50 67881, 48M,
18:15:50 67961, 48M,
18:15:51 68041, 48M,
18:15:51 68121, 48M,
18:15:51 68201, 48M,
18:15:51 68281, 48M,
18:15:51 68361, 48M,
18:15:51 68441, 48M,
18:15:58 68521, 48M,
18:15:58 68601, 48M,
18:15:58 68681, 48M,
18:15:58 68761, 48M,
18:15:59 68841, 48M,
18:15:59 68921, 48M,
18:15:59 69001, 48M,
18:15:59 69081, 48M,
18:15:59 69161, 48M,
18:15:59 69241, 48M,
18:15:59 69321, 48M,
18:15:59 69401, 48M,
18:15:59 69481, 48M,
18:15:59 69561, 48M,
18:16:00 69641, 48M,
18:16:00 69721, 48M,
18:16:00 69801, 48M,
18:16:00 69881, 48M,
18:16:00 69961, 48M,
18:16:00 70041, 54M,
18:16:00 70121, 48M,
18:16:00 70201, 48M,
18:16:00 70281, 54M,
18:16:00 70361, 54M,
18:16:00 70441, 48M,
18:16:01 70521, 48M,
18:16:01 70601, 48M,
18:16:01 70681, 48M,
18:16:01 70761, 48M,
18:16:01 70841, 48M,
18:16:01 70921, 48M,
18:16:01 71001, 48M,
18:16:01 71081, 48M,
18:16:01 71161, 48M,
18:16:01 71241, 48M,
18:16:01 71321, 48M,
18:16:02 71401, 48M,
18:16:02 71481, 48M,
18:16:02 71561, 48M,
18:16:02 71641, 48M,
18:16:02 71721, 54M,
18:16:02 71801, 54M,
18:16:02 71881, 48M,
18:16:02 71961, 48M,
18:16:02 72041, 48M,
18:16:02 72121, 48M,
18:16:02 72201, 48M,
18:16:02 72281, 48M,
18:16:03 72361, 48M,
18:16:03 72441, 48M,
18:16:03 72521, 54M,
18:16:03 72601, 48M,
18:16:03 72681, 48M,
18:16:03 72761, 48M,
18:16:03 72841, 48M,
18:16:03 72921, 48M,
18:16:03 73001, 48M,
18:16:03 73081, 48M,
18:16:03 73161, 48M,
18:16:03 73241, 48M,
18:16:04 73321, 48M,
18:16:04 73401, 48M,
18:16:04 73481, 48M,
18:16:04 73561, 48M,
18:16:04 73641, 48M,
18:16:04 73721, 48M,
18:16:04 73801, 48M,
18:16:04 73881, 48M,
18:16:04 73961, 48M,
18:16:04 74041, 48M,
18:16:04 74121, 48M,
18:16:05 74201, 48M,
18:16:05 74281, 48M,
18:16:05 74361, 48M,
18:16:05 74441, 48M,
18:16:05 74521, 48M,
18:16:05 74601, 48M,
18:16:05 74681, 48M,
18:16:05 74761, 48M,
18:16:05 74841, 48M,
18:16:05 74921, 48M,
18:16:05 75001, 48M,
18:16:05 75081, 48M,
18:16:05 75161, 48M,
18:16:06 75241, 48M,
18:16:06 75321, 48M,
18:16:06 75401, 48M,
18:16:06 75481, 48M,
18:16:06 75561, 48M,
18:16:06 75641, 48M,
18:16:06 75721, 48M,
18:16:06 75801, 54M,
18:16:06 75881, 54M,
18:16:06 75961, 48M,
18:16:06 76041, 48M,
18:16:07 76121, 48M,
18:16:07 76201, 48M,
18:16:07 76281, 48M,
18:16:07 76361, 48M,
18:16:07 76441, 48M,
18:16:07 76521, 48M,
18:16:07 76601, 48M,
18:16:07 76681, 48M,
18:16:07 76761, 48M,
18:16:08 76841, 48M,
18:16:08 76921, 48M,
18:16:08 77001, 48M,
18:16:08 77081, 48M,
18:16:08 77161, 48M,
18:16:08 77241, 48M,
18:16:08 77321, 48M,
18:16:08 77401, 48M,
18:16:08 77481, 48M,
18:16:08 77561, 48M,
18:16:08 77641, 48M,
18:16:09 77721, 48M,
18:16:09 77801, 48M,
18:16:09 77881, 48M,
18:16:09 77961, 48M,
18:16:09 78041, 48M,
18:16:09 78121, 48M,
18:16:09 78201, 48M,
