Mar 10 20:10:37 cs219-laptop kernel: [  806.396193] 06:20:a6:57:ff:32 minstrel: tx_rate 6, packet_count 7808
Mar 10 20:10:37 cs219-laptop kernel: [  806.396201] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7808
Mar 10 20:10:37 cs219-laptop kernel: [  806.397802] 06:20:a6:57:ff:32 minstrel: tx_rate 12, packet_count 7808
Mar 10 20:10:37 cs219-laptop kernel: [  806.397809] 06:20:a6:57:ff:32 minstrel: tx_rate 1, packet_count 7808
Mar 10 20:10:37 cs219-laptop kernel: [  806.403770] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7808
Mar 10 20:10:37 cs219-laptop kernel: [  806.405570] 06:20:a6:57:ff:32 minstrel: tx_rate 48, packet_count 7839
Mar 10 20:10:37 cs219-laptop kernel: [  806.405577] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7839
Mar 10 20:10:37 cs219-laptop kernel: [  806.407169] 06:20:a6:57:ff:32 minstrel: tx_rate 18, packet_count 7839
Mar 10 20:10:37 cs219-laptop kernel: [  806.407176] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7839
Mar 10 20:10:37 cs219-laptop kernel: [  806.408864] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7839
Mar 10 20:10:38 cs219-laptop kernel: [  806.413871] 06:20:a6:57:ff:32 minstrel: tx_rate 9, packet_count 7839
Mar 10 20:10:38 cs219-laptop kernel: [  806.431025] 06:20:a6:57:ff:32 minstrel: tx_rate 54, packet_count 7874
Mar 10 20:10:42 cs219-laptop kernel: [  806.634209] 00:13:e8:1d:6a:29 minstrel: tx_rate 2, packet_count 109
