Feb 26 17:46:29 cs219-laptop kernel: [ 1328.920117] rraa: 06:20:a6:57:ff:32 : tx_count: 4441, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.925698] rraa: 06:20:a6:57:ff:32 : tx_count: 4481, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.930399] rraa: 06:20:a6:57:ff:32 : tx_count: 4521, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.938289] rraa: 06:20:a6:57:ff:32 : tx_count: 4561, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.944501] rraa: 06:20:a6:57:ff:32 : tx_count: 4601, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.949988] rraa: 06:20:a6:57:ff:32 : tx_count: 4641, tx_rate: 48M, loss ratio: 20, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.953970] rraa: 06:20:a6:57:ff:32 : tx_count: 4681, tx_rate: 54M, loss ratio: 4, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.957519] rraa: 06:20:a6:57:ff:32 : tx_count: 4721, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.964982] rraa: 06:20:a6:57:ff:32 : tx_count: 4761, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.970087] rraa: 06:20:a6:57:ff:32 : tx_count: 4801, tx_rate: 48M, loss ratio: 18, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.974396] rraa: 06:20:a6:57:ff:32 : tx_count: 4841, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.981915] rraa: 06:20:a6:57:ff:32 : tx_count: 4881, tx_rate: 48M, loss ratio: 16, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1328.991391] rraa: 06:20:a6:57:ff:32 : tx_count: 4921, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:29 cs219-laptop kernel: [ 1329.009164] rraa: 06:20:a6:57:ff:32 : tx_count: 4961, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.013690] rraa: 06:20:a6:57:ff:32 : tx_count: 5001, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.017622] rraa: 06:20:a6:57:ff:32 : tx_count: 5041, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.022022] rraa: 06:20:a6:57:ff:32 : tx_count: 5081, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.026819] rraa: 06:20:a6:57:ff:32 : tx_count: 5121, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.030444] rraa: 06:20:a6:57:ff:32 : tx_count: 5161, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.034666] rraa: 06:20:a6:57:ff:32 : tx_count: 5201, tx_rate: 54M, loss ratio: 2, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.039393] rraa: 06:20:a6:57:ff:32 : tx_count: 5241, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.043838] rraa: 06:20:a6:57:ff:32 : tx_count: 5281, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.048834] rraa: 06:20:a6:57:ff:32 : tx_count: 5321, tx_rate: 48M, loss ratio: 23, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.052865] rraa: 06:20:a6:57:ff:32 : tx_count: 5361, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.060292] rraa: 06:20:a6:57:ff:32 : tx_count: 5401, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.067019] rraa: 06:20:a6:57:ff:32 : tx_count: 5441, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.071237] rraa: 06:20:a6:57:ff:32 : tx_count: 5481, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.075895] rraa: 06:20:a6:57:ff:32 : tx_count: 5521, tx_rate: 48M, loss ratio: 14, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.082169] rraa: 06:20:a6:57:ff:32 : tx_count: 5561, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.085916] rraa: 06:20:a6:57:ff:32 : tx_count: 5601, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.103707] rraa: 06:20:a6:57:ff:32 : tx_count: 5641, tx_rate: 36M, loss ratio: 25, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.108108] rraa: 06:20:a6:57:ff:32 : tx_count: 5681, tx_rate: 48M, loss ratio: 6, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.112940] rraa: 06:20:a6:57:ff:32 : tx_count: 5721, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:30 cs219-laptop kernel: [ 1329.123925] rraa: 06:20:a6:57:ff:32 : tx_count: 5761, tx_rate: 48M, loss ratio: 13, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.129283] rraa: 06:20:a6:57:ff:32 : tx_count: 5801, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.135044] rraa: 06:20:a6:57:ff:32 : tx_count: 5841, tx_rate: 48M, loss ratio: 11, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.139075] rraa: 06:20:a6:57:ff:32 : tx_count: 5881, tx_rate: 48M, loss ratio: 9, window size: 40
Feb 26 17:46:31 cs219-laptop kernel: [ 1329.144625] rraa: 06:20:a6:57:ff:32 : tx_count: 5921, tx_rate: 48M, loss ratio: 21, window size: 40
